"Lounge","Terminal","Airport","card","Image","Credit Card","ID","Created Date","Updated Date","Owner"
"Travel club lounge "," Domestic Terminal - Domestic Departures","Netaji Subhas Chandra Bose International Airport, Kolkata","AU Small Finance Bank LIT Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020252177969316880202521779693AirportImage.webp&w=96&q=75",[],"c0f40f87-c097-4ff5-8061-3220f36ecabd",2024-05-30T16:53:56Z,2024-05-30T16:53:56Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Oasis lounge"," Terminal 1 - Domestic Departures ","Chhatrapati Shivaji International Airport, Mumbai ","SBI Aurum Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688019554699202616880195546992026AirportImage.webp&w=96&q=75",[],"c12a78b1-d598-443f-88a6-b9ec43d4db20",2024-05-30T16:53:34Z,2024-05-30T16:53:34Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Earth lounge"," International Terminal - International Departures","Cochin International Airport, Kochi","ICICI Bank Expressions Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020454391397016880204543913970AirportImage.webp&w=96&q=75",[],"c151e607-cbdd-4419-a19a-26848f1916ec",2024-05-30T16:53:37Z,2024-05-30T16:53:37Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Primus lounge "," Domestic Terminal - Domestic Terminal ","Madurai International Airport, Madurai","ICICI Bank Visa Signature Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1687953945909818916879539459098189AirportImage.webp&w=96&q=75",[],"c159245b-8325-428a-8ef7-78b1361425f8",2024-05-30T16:53:36Z,2024-05-30T16:53:36Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel club lounge "," Domestic Terminal - Domestic Departures","Netaji Subhas Chandra Bose International Airport, Kolkata","Citi Prestige Master Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688033420806202816880334208062028AirportImage.webp&w=96&q=75",[],"c1717d4b-3440-4f3f-b43b-daa4b0c22028",2024-05-30T16:53:50Z,2024-05-30T16:53:50Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"BLR domestic lounge "," Terminal 1 - Domestic departure","Kempegowda International Airport, Bengaluru","YES First Preferred Mastercard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020048192079016880200481920790AirportImage.webp&w=96&q=75",[],"c1718354-3ab9-4c77-a4c3-c4486efff853",2024-05-30T16:53:51Z,2024-05-30T16:53:51Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Encalm Lounge"," Terminal 3 - International Departures","Indira Gandhi International Airport , New Delhi ","Kotak White Visa Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688021193414629416880211934146294AirportImage.png&w=96&q=75",[],"c1830d42-732f-480f-bb12-6618650e80f9",2024-05-30T16:53:51Z,2024-05-30T16:53:51Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Bird lounge "," Domestic Terminal - Domestic Terminal","Biju Patnaik International Airport , Bhubaneswar","Kotak Infinite Credit card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688023208094287116880232080942871AirportImage.webp&w=96&q=75",[],"c1f70806-6e30-42f3-a86e-ce8866d642c1",2024-05-30T16:53:48Z,2024-05-30T16:53:48Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel club lounge "," Domestic Terminal - Domestic Departures","Netaji Subhas Chandra Bose International Airport, Kolkata","ICICI Bank Sapphiro MasterCard","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1687953945909818916879539459098189AirportImage.webp&w=96&q=75",[],"c22d36fa-574a-49bd-927a-0bf5fbca482c",2024-05-30T16:53:37Z,2024-05-30T16:53:37Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
"Travel Club Lounge B"," Domestic Terminal - Domestic Terminal","Chennai International Airport , Chennai","HSBC Premier Credit Card","https://www.loungeaccess.in//_next/image?url=%2Fimages%2F1688020939053513416880209390535134AirportImage.webp&w=96&q=75",[],"c24a9d09-718b-43cf-aaa2-7553c8622139",2024-05-30T16:53:40Z,2024-05-30T16:53:40Z,"0159b75f-6ea6-4c8e-b0f9-3840c4431a06"
